cad_rule_id,rule_id,system_code,cad_task_type,cad_task_description,required_inputs,expected_output,blocking_rfi_condition,source_page,requires_human_review
CAD-001,IB2024-I01-001,LAN,riser,依 1.1.1 資通訊網路垂直主幹光纖化架構 建立 riser 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,riser 草稿或佐證文件清單，附 rule_id 與 source_page,missing_system_boundary; missing_evidence_document,"14,76",true
CAD-002,IB2024-I01-001,LAN,cable_route,依 1.1.1 資通訊網路垂直主幹光纖化架構 建立 cable_route 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,cable_route 草稿或佐證文件清單，附 rule_id 與 source_page,missing_system_boundary; missing_evidence_document,"14,76",true
CAD-003,IB2024-I01-001,LAN,evidence_doc,依 1.1.1 資通訊網路垂直主幹光纖化架構 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_system_boundary; missing_evidence_document,"14,76",true
CAD-004,IB2024-I01-002,LAN,system_diagram,依 1.1.2 水平佈線支援不同系統需求 建立 system_diagram 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,system_diagram 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_system_boundary; missing_equipment_spec,"14,76",true
CAD-005,IB2024-I01-002,LAN,riser,依 1.1.2 水平佈線支援不同系統需求 建立 riser 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,riser 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_system_boundary; missing_equipment_spec,"14,76",true
CAD-006,IB2024-I01-002,LAN,layout,依 1.1.2 水平佈線支援不同系統需求 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_system_boundary; missing_equipment_spec,"14,76",true
CAD-007,IB2024-I01-002,LAN,cable_route,依 1.1.2 水平佈線支援不同系統需求 建立 cable_route 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,cable_route 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_system_boundary; missing_equipment_spec,"14,76",true
CAD-008,IB2024-I01-003,TEL,riser,依 1.1.3 公眾行動通信涵蓋 建立 riser 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,riser 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_testing_requirement,"14-15,76-77",true
CAD-009,IB2024-I01-003,TEL,layout,依 1.1.3 公眾行動通信涵蓋 建立 layout 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,layout 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_testing_requirement,"14-15,76-77",true
CAD-010,IB2024-I01-003,TEL,evidence_doc,依 1.1.3 公眾行動通信涵蓋 建立 evidence_doc 草稿，僅標示需求來源與待確認欄位，不自行決定點位數量或設備位置。,需求書條文、建築平面/昇位底圖、設備清單、系統邊界、整合介面、送審階段,evidence_doc 草稿或佐證文件清單，附 rule_id 與 source_page,missing_scope; missing_testing_requirement,"14-15,76-77",true
