evidence_rule_id,rule_id,evidence_type,evidence_name,description,related_system_code,related_cad_task_type,source_page,source_excerpt,requires_human_review
EV-001,IB2024-I01-001,drawing,配線/置規劃昇位圖說,用於佐證 1.1.1 資通訊網路垂直主幹光纖化架構 的需求、設計、竣工、測試或平台畫面。,LAN,riser;cable_route;evidence_doc,"14,76",垂直主幹佈線採用光纖化架構,true
EV-002,IB2024-I01-001,drawing,配線/置竣工昇位圖說,用於佐證 1.1.1 資通訊網路垂直主幹光纖化架構 的需求、設計、竣工、測試或平台畫面。,LAN,riser;cable_route;evidence_doc,"14,76",垂直主幹佈線採用光纖化架構,true
EV-003,IB2024-I01-001,photo,佐證照片,用於佐證 1.1.1 資通訊網路垂直主幹光纖化架構 的需求、設計、竣工、測試或平台畫面。,LAN,riser;cable_route;evidence_doc,"14,76",垂直主幹佈線採用光纖化架構,true
EV-004,IB2024-I01-002,drawing,規劃架構圖說,用於佐證 1.1.2 水平佈線支援不同系統需求 的需求、設計、竣工、測試或平台畫面。,LAN;CCTV;ACS;INTERCOM;PARKING;FAS;BMS,system_diagram;riser;layout;cable_route,"14,76",監視攝影、門禁管理、保全、對講、停車管理,true
EV-005,IB2024-I01-002,drawing,配線規劃昇位圖說,用於佐證 1.1.2 水平佈線支援不同系統需求 的需求、設計、竣工、測試或平台畫面。,LAN;CCTV;ACS;INTERCOM;PARKING;FAS;BMS,system_diagram;riser;layout;cable_route,"14,76",監視攝影、門禁管理、保全、對講、停車管理,true
EV-006,IB2024-I01-002,drawing,配線規劃平面圖說,用於佐證 1.1.2 水平佈線支援不同系統需求 的需求、設計、竣工、測試或平台畫面。,LAN;CCTV;ACS;INTERCOM;PARKING;FAS;BMS,system_diagram;riser;layout;cable_route,"14,76",監視攝影、門禁管理、保全、對講、停車管理,true
EV-007,IB2024-I01-002,drawing,竣工架構圖說,用於佐證 1.1.2 水平佈線支援不同系統需求 的需求、設計、竣工、測試或平台畫面。,LAN;CCTV;ACS;INTERCOM;PARKING;FAS;BMS,system_diagram;riser;layout;cable_route,"14,76",監視攝影、門禁管理、保全、對講、停車管理,true
EV-008,IB2024-I01-003,drawing,配線規劃昇位圖說,用於佐證 1.1.3 公眾行動通信涵蓋 的需求、設計、竣工、測試或平台畫面。,TEL;LAN,riser;layout;evidence_doc,"14-15,76-77",建物室內地上、地下各層及電梯內行動通訊,true
EV-009,IB2024-I01-003,drawing,配線規劃平面圖說,用於佐證 1.1.3 公眾行動通信涵蓋 的需求、設計、竣工、測試或平台畫面。,TEL;LAN,riser;layout;evidence_doc,"14-15,76-77",建物室內地上、地下各層及電梯內行動通訊,true
EV-010,IB2024-I01-003,report,測試報告,用於佐證 1.1.3 公眾行動通信涵蓋 的需求、設計、竣工、測試或平台畫面。,TEL;LAN,riser;layout;evidence_doc,"14-15,76-77",建物室內地上、地下各層及電梯內行動通訊,true
