rfi_rule_id,rule_id,trigger_condition,rfi_question,impact_if_unanswered,priority,source_page,source_excerpt
RFI-001-1,IB2024-I01-001,missing_system_boundary,請確認本案是否納入「1.1.1 資通訊網路垂直主幹光纖化架構」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",垂直主幹佈線採用光纖化架構
RFI-001-2,IB2024-I01-001,missing_evidence_document,請確認本案是否納入「1.1.1 資通訊網路垂直主幹光纖化架構」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",垂直主幹佈線採用光纖化架構
RFI-002-3,IB2024-I01-002,missing_scope,請確認本案是否納入「1.1.2 水平佈線支援不同系統需求」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",監視攝影、門禁管理、保全、對講、停車管理
RFI-002-1,IB2024-I01-002,missing_system_boundary,請確認本案是否納入「1.1.2 水平佈線支援不同系統需求」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",監視攝影、門禁管理、保全、對講、停車管理
RFI-002-2,IB2024-I01-002,missing_equipment_spec,請確認本案是否納入「1.1.2 水平佈線支援不同系統需求」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"14,76",監視攝影、門禁管理、保全、對講、停車管理
RFI-003-3,IB2024-I01-003,missing_scope,請確認本案是否納入「1.1.3 公眾行動通信涵蓋」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"14-15,76-77",建物室內地上、地下各層及電梯內行動通訊
RFI-003-1,IB2024-I01-003,missing_testing_requirement,請確認本案是否納入「1.1.3 公眾行動通信涵蓋」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"14-15,76-77",建物室內地上、地下各層及電梯內行動通訊
RFI-004-2,IB2024-I01-004,missing_scope,請確認本案是否納入「1.1.4 無線區域網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"15,77",適當公共空間或必要之工作區域
RFI-004-3,IB2024-I01-004,missing_equipment_spec,請確認本案是否納入「1.1.4 無線區域網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,medium,"15,77",適當公共空間或必要之工作區域
RFI-005-1,IB2024-I01-005,missing_integration_interface,請確認本案是否納入「1.1.5 無線物聯網網路」；若納入，請提供申請範圍、系統邊界、設備規格、介面、測試方式與佐證文件。,無法判斷是否可能對應智慧建築 2024 規則，也無法產生可靠 CAD 任務草稿或送審文件清單。,high,"15-16,77-78",蒐集建築物環境數據或維運管理資訊
